 Bronze Bar,6.2,1,236,No,0
 Bronze Dagger/Axe,12.5,1,264,No,12.5
 Bronze Mace,12.5,2,272,No,12.5
 Bronze Medium Helm,12.5,3,273,No,12.5
 Bronze Bolts,12,3,412,Yes,12
 Bronze Sword/Dart Tips,12.5,4,277,No,12.5
 Bronze Nails,12,4,274,Yes,12
 Bronze Arrow Heads,12,5,263,Yes,12
 Bronze Scimitar,25,5,275,No,25
 Bronze Limbs,12,6,413,Yes,12
 Bronze Long Sword,25,6,271,No,25
 Bronze Full Helm,25,7,269,No,25
 Bronze Throwing Knives,12,7,268,Yes,12
 Bronze Sq Shield,25,8,276,No,25
 Bronze Warhammer,37.5,9,278,No,37.5
 Bronze Battle Axe,37.5,10,261,No,37.5
 Bronze Chainbody,37,11,265,No,37.5
 Bronze Kite Shield,37.5,12,267,No,37.5
 Blurite Bolts,17,13,410,Yes,17
 Blurite Limbs,17,13,411,Yes,17
 Bronze 2 Handed Sword,37.5,14,262,No,37.5
 Iron Dagger,25,15,285,No,25
 Iron Bar,12.5,15,238,No,0
 Bronze PlateSkirt/Legs,37.5,16,270,No,37.5
 Iron Axe,25,16,282,No,25
 Iron Mace,25,17,290,No,25
 Iron Bolts,25,18,414,Yes,25
 Iron Medium Helm,25,18,291,No,25
 Bronze Platebody,62.5,18,266,No,62.5
 Iron Sword/Dart Tips/Nails,25,19,294,No,25
 Silver Bar,13.7,20,241,No,0
 Iron Scimitar/Arrow Heads,25,20,292,No,25
 Iron Long Sword,50,21,289,No,50
 Iron Throwing Knives,25,22,287,Yes,25
 Iron Full Helm,50,22,288,No,50
 Iron Sq Shield,50,23,293,No,50
 Iron Limbs,25,23,415,Yes,25
 Iron Warhammer,75,24,295,No,75
 Iron Battle Axe,75,25,283,No,75
 Iron Chainbody,75,26,284,No,75
 Iron Kite Shield,75,27,286,No,75
 Iron 2 Handed Sword,75,29,281,No,75
 Steel Bar,17.5,30,242,No,0
 Iron Burial Armour (Grade I),101,30,764,No,101
 Iron Burial Armour (Grade III),240,30,764,No,240
 Iron Burial Armour (Grade II),202,30,764,No,202
 Steel Dagger/Axe,37.5,30,334,No,37.5
 Iron PlateSkirt/Legs,75,31,280,No,75
