Aberrant Spectre,104,60,Nosepeg or Slayer Helmet,Canifis Slayer Tower. Desert Slayer Dungeon,2600,90
Abyssal Demon,146,85,None,Canifis Slayer Tower. Abyssal Area (Fairy ring (ALR)),3650,291
Airut,122,92,None,Airut can be found just west of the Phoenix Lair in the Piscatoris Hunter area (akq or Phoenix Lair Teleport) and in Kuradal's Dungeon.,16875,800
Ankou(86),86,1,None,Level 4 of the Stronghold of Security - North-Eastern room - Wilderness Volcano,2150,60
Ankou(88),88,1,None,Level 4 of the Stronghold of Security (Southern room). Wilderness Volcano,2200,66
Ankou(90),90,1,None,Northwest chamber of The Sepulchre of Death. Level 4 of the Stronghold of Security. Wilderness Volcano,2310,70
Aquanite,114,78,None,Fremennik Slayer Dungeon,1250,125
Asyn Shade,100,1,None,Mort'ton Dungeon,920,90
Automaton Generator,165,67,None,Central Cave; After The World Wakes Quest,20000,655
Automaton Guardian,165,67,None,Central Cave; After The World Wakes Quest,20000,665
Automaton Tracer,165,67,None,Central Cave; After The World Wakes Quest,20000,655
Aviansie (128),128,1,Range or Mage,God Wars Dungeon,6400,179
Aviansie (132),132,1,Range or Mage,God Wars Dungeon,6600,179
Aviansie (136),136,1,Range or Mage,God Wars Dungeon,6800,179
Baby Black Dragon,100,1,None,Lair of the Evil Chicken. Chaos tunnels,2500,80
Baby Blue Dragon,64,1,None,Taverley dungeon,1600,50
Baby Red Dragon,48,1,None,Brimhaven Dungeon,500,50
Balfrug Kreeyath,151,1,None,God Wars Dungeon,1610,161
Banshee,54,15,Earmuffs or Slayer Helmet,Canifis Slayer Tower. Desert Slayer Dungeon,1350,15
Basilisk,110,40,Mirror shield,Fremennik Slayer Dungeon. Desert Slayer Dungeon,2750,57
Bat,20,1,None,Karamja Volcano Dungeon. Road to Priest in Peril dungeon. Around Slayer Tower,500,8
Birds (Chickens),1,1,None,Chicken coop on the road from lumby to varrock,30,3
Black Bear,34,1,None,Varrock - Entrana - Tree Gnome Village - South-eastern Goblin Village,850,25
Black Demon,140,1,None,Brimhaven dungeon - Taverley dungeon - Edgeville dungeon - Chaos tunnels,3500,157
Black Dragon,144,1,None,Taverley Dungeon - Lava Maze Dungeon - Evil Chicken Lair,10800,200
Bladed Muspah,150,76,,Freneskae,20000,782
Blood Nihil,160,76,,Freneskae,25000,450
Bloodveld,76,50,None,Canifis Slayer Tower - Blood Altar Dungeon,1200,120
Bloodveld(GWD),81,1,None,God Wars dungeon,1340,134
Blue Dragon,111,1,None,Heroes guild basement - Taverley dungeon - Gu'Tanoth,1100,107
Bork,267,44,None,Chaos Tunnels,300,250
Brine Rat,70,47,None,Olaf's Quest tunnels,500,45
Bronze Dragon,131,1,None,Karamja dragon dungeon - Chaos Tunnels,1220,125
Capsarius,150,81,Range Only,Monastery of Ascension,3750,154
Catablepon,68,1,None,Level three of the Stronghold of Security,700,70
Cave Bug Large,96,7,None,Dorgesh-Kaan South Dungeon,930,93
Cave Bug Small,6,7,None,Lumbridge Swamp Dungeon - Dorgesh-Kaan South Dungeon,50,5
Cave Crawler,23,10,None,Fremennik Slayer Dungeon,220,22
Cave Horror,80,58,Witchwood icon,Mos Le'Harmless Caves,550,55
Cave Slime,23,17,None,Lumbridge Swamp Dungeon,230,25
Chaos Dwarf,48,1,None,Wilderness & Dwarf Battlefield,610,61
Chaos Dwarf Hand Cannoneer,100,1,None,Dwarf Battlefield,1220,122
Cockatrice,37,36,Mirror shield,Fremennik Slayer Dungeon,370,37
Cow,2,1,None,Lumby cow field on the road to varrock,80,8
Crawling Hand(12),12,5,None,Canifis Slayer Tower,190,19
Crawling Hand(8),8,5,None,Canifis Slayer Tower,160,16
Crocodile,63,1,None,In the Elid river - in the town of Pollnivneach - West of Nardah,630,62
Dagannoth Prime,303,1,None,Waterbirth Island,2550,255
Dagannoth Rex,303,1,None,Waterbirth Island,2550,331
Dagannoth Supreme,303,1,None,Waterbirth Island,2560,255
Dagannoth(74),74,1,None,Lighthouse Basement,700,70
Dagannoth(90),90,1,None,Waterbirth Island Dungeon,950,97
Dagannoth(92),92,1,None,Lighthouse dungeon,1200,120
Dark Beast,182,90,None,Light Temple Path,2200,225
Desert Lizard(12),12,22,Ice cooler,Kharidian Desert,150,15
Desert Lizard(24),24,22,Ice cooler,Kharidian Desert,250,25
Desert Strykewyrm,130,77,None,East of Al Kharid,1200,317
Dog,44,1,None,McGrubor's Woods - the Mansion in Brimhaven - the Mansion in East Ardougne,490,49
Dust Devil,93,65,Face mask,Smoke Well in Kharidian Desert,1050,105
Dwarf(10),10,1,None,Ice Mountain / Mining Guild / Road between Falador and Barbarian Village / Keldagrim / South of Yanille / Dwarven Mines / Beneath White Wolf Mountain / Taverley Dungeon / Dwarven Mine Resource Dungeon,160,16
