'Rum'-pumped crab,91,850,Yes
A Doubt,78,590,Yes
Aberrant spectre,96,900,Yes
Aberrant Spectre Champion,102,1000,Yes
Abyssal demon,124,1500,Yes
Abyssal guardian,59,500,Yes
Abyssal leech,86,100,Yes
Abyssal walker,81,950,Yes
Adolescent White wolf,3,60,Yes
Afflicted,37,300,Yes
Afflicted -2-,34,380,Yes
Afflicted -3-,30,240,Yes
Afflicted -4-,32,280,Yes
Agrith-Na-Na,146,2000,Yes
Agrith-Naar,100,950,Yes
Ahrim the Blighted,130,1000,Yes
Air elemental,34,300,Yes
Air Wizard,13,250,No
Akrisae the Doomed,115,1000,Yes
Al-Kharid warrior,9,190,No
Albino Bat,52,350,Yes
Alexis,24,600,Yes
Alomone,13,250,Yes
Alrik,1,10,Yes
Ancient mage,165,1200,Yes
Ancient ranger,167,1500,Yes
Ancient warrior,148,1500,Yes
Angry Barbarian Spirit,166,1900,Yes
Angry Bear,47,500,Yes
Angry Giant Rat,47,500,Yes
Angry Goblin,47,500,Yes
Angry juvinate -1-,70,750,Yes
Angry juvinate -2-,100,1350,Yes
Angry juvinate -3-,130,1850,Yes
Angry Unicorn,47,500,Yes
Animated Adamant Armour,113,990,Yes
Animated Black Armour,69,600,Yes
Animated Bronze Armour,11,100,Yes
Animated Iron Armour,23,200,Yes
Animated Mithril Armour,92,800,Yes
Animated Rune Armour,138,1200,Yes
Animated Spade,50,400,Yes
Animated Steel Armour,46,400,Yes
Ankou -1-,75,600,No
Ankou -2-,82,650,No
Ankou -3-,86,700,No
Apmeken,75,700,Yes
Aquanite,114,1250,Yes
Archer,37,500,Yes
Armoured zombie,85,850,Yes
Arrav,180,1800,Yes
Arrg,171,1400,Yes
Arzinian Avatar of Magic,125,1000,Yes
Arzinian Avatar of Ranging,125,1000,Yes
Arzinian Avatar of Strength,125,1000,Yes
Assassin,38,250,Yes
Asyn Shade,100,920,Yes
Asyn Shadow,100,900,Yes
Avatar of Creation,525,10000,Yes
Avatar of Destruction,525,10000,Yes
Aviansie -1-,71,630,Yes
Aviansie -10-,94,750,Yes
Aviansie -11-,97,790,Yes
Aviansie -12-,137,1240,Yes
Aviansie -13-,83,860,Yes
Aviansie -2-,131,730,Yes
Aviansie -3-,69,700,Yes
Aviansie -4-,148,1390,Yes
Aviansie -5-,73,670,Yes
Aviansie -6-,79,830,Yes
Aviansie -7-,84,860,Yes
Aviansie -8-,89,690,Yes
Aviansie -9-,92,950,Yes
Ayuni,170,3000,Yes
Baby black dragon,83,800,Yes
Baby blue dragon,48,500,Yes
Baby red dragon,48,500,Yes
Baby red dragon -POH-,65,650,Yes
Baby Roc,75,500,Yes
Baby Tanglefoot,45,400,Yes
Balance Elemental,454,2750,Yes
Balfrug Kreeyath,151,1610,Yes
Bandit,22,270,No
Bandit -2-,56,300,Yes
Bandit -3-,41,300,Yes
Bandit -4-,57,500,Yes
Bandit -5-,74,650,Yes
Bandit champion,70,500,Yes
Bandit Looter,41,400,Yes
Bandos Avatar,125,1000,Yes
Banshee,23,220,Yes
Banshee Champion,73,700,Yes
Banshee Mistress,111,2220,Yes
Barbarian,10,180,No
Barbarian -2-,9,200,No
Barbarian -3-,17,240,No
Barbarian -4-,15,240,No
Barbarian -5-,8,140,No
Bardur,94,990,Yes
Bark Blamish Snail,15,230,Yes
Barrelchest,210,1340,Yes
Barrelchest Mk II,188,3500,Yes
Basilisk,61,750,Yes
Basilisk Boss,240,1950,Yes
Bat,6,80,Yes
Battle mage,54,1200,Yes
Bear cub,15,200,Yes
Bedabin Nomad Fighter,56,500,Yes
Berry,71,900,Yes
Berserk Barbarian Spirit,166,1900,Yes
Big Frog,24,250,Yes
Big snake,84,1200,Yes
Big Wolf,73,740,Yes
Billy Goat,33,280,Yes
Bird,11,100,Yes
Bird -2-,5,50,Yes
Black bear,19,250,No
Black demon,172,1570,Yes
Black dragon,227,1900,Yes
Black Golem,75,800,Yes
Black Guard,48,400,Yes
Black Guard -2-,25,300,No
Black Guard Berserker,66,510,Yes
Black Guard berserker,66,500,Yes
Black Guard crossbowdwarf,83,800,Yes
Black Heather,34,380,No
Black Knight,33,420,No
Black knight guardian,110,1500,Yes
Black Knight Titan,120,1420,Yes
Black unicorn,27,290,Yes
Black Unicorn Foal,22,250,Yes
Blessed Giant Rat,9,300,Yes
Blessed spider,39,320,Yes
Blood Blamish Snail,20,100,Yes
Blood Blamish Snail -2-,20,130,Yes
Blood reaver,147,1000,Yes
Bloodveld,76,1200,Yes
Bloodveld -2-,81,1340,Yes
Bloodveld leecher,45,50,Yes
Bloodworm,52,450,Yes
Blue dragon,111,1050,Yes
Boris,24,600,Yes
Bork,267,3000,Yes
Borrokar,48,500,Yes
Bouncer,137,1160,Yes
Bouncer -2-,160,1200,Yes
Brawler,51,530,Yes
Brawler -2-,76,830,Yes
Brawler -3-,101,1130,Yes
Brawler -4-,129,1430,Yes
Brawler -The Void Stares Back-,89,850,Yes
Bree,146,1620,Yes
Brine rat,70,500,Yes
Broddi,2,10,Yes
Bronze dragon,131,1220,Yes
Broodoo Victim -Green-,60,870,Yes
Broodoo Victim -White-,60,870,Yes
Broodoo Victim -Yellow-,60,870,Yes
Bruise Blamish Snail,20,120,Yes
Bruise Blamish Snail -2-,20,150,Yes
Brutal green dragon,227,1750,Yes
Bunyip,52,550,Yes
Bunyip -2-,37,400,Yes
Bush Snake,35,260,Yes
Caitlin,3,20,No
Camp Dweller,25,250,Yes
Camp Dweller -2-,31,300,Yes
Captured Meiyerditch citizen,17,80,Yes
Catablepon,68,500,No
Catablepon -2-,64,700,No
Catablepon -3-,49,400,No
Cave Bug,6,50,Yes
Cave Bug -2-,96,930,Yes
Cave crawler,23,220,Yes
Cave Crawler -2-,138,1220,Yes
Cave goblin,3,100,Yes
Cave Goblin Guard -1-,24,260,Yes
Cave Goblin Guard -2-,26,260,Yes
Cave Goblin Miner,11,100,Yes
Cave Horror,80,550,Yes
Cave Lizard,37,200,Yes
Cave slime,23,250,Yes
Cave Wolf Matriarch,283,4000,Yes
Cerberus,29,300,Yes
Chaos Druid,13,200,Yes
Chaos Druid Warrior,37,400,Yes
Chaos Dwarf,48,610,No
Chaos dwarf hand cannoneer -1-,100,1220,Yes
Chaos dwarf hand cannoneer -2-,100,620,Yes
Chaos dwogre,117,1000,Yes
Chaos Elemental,305,2500,Yes
Char,501,30000,Yes
Chicken,1,30,No
Chompy,6,100,Yes
Chronozon,170,600,Yes
City guard,83,800,Yes
Cliff,238,6000,Yes
Cliff -2-,199,4900,Yes
Cliff -3-,170,4000,Yes
Cliff -4-,132,4000,Yes
Clivet,13,250,Yes
Cockatrice,37,370,Yes
Cockroach Drone,8,110,No
Cockroach soldier,83,960,No
Cockroach worker,56,550,No
Colonel Grimsson,160,1400,Yes
Colonel Radick,38,650,Yes
Commander Zilyana,596,2550,Yes
Confused Barbarian,132,1240,Yes
Confusion Beast,63,640,Yes
Corporeal Beast,785,20000,Yes
Corpse archer,13,90,No
Corpse mage,15,99,No
Corpse Spider,3,47,No
Count Draynor,37,350,No
Cow,2,107,No
Cow Calf,2,69,No
Crab -1-,23,190,Yes
Crab -2-,21,180,Yes
Crawling corpse torso,7,87,No
Crawling hand,12,190,Yes
Crawling Hand -2-,8,160,Yes
Crawling Hand -3-,7,150,Yes
Crawling Hand -4-,11,180,Yes
Crocodile -1-,63,620,Yes
Crocodile -2-,89,720,Yes
Crondis,75,600,Yes
Cruor,285,6000,Yes
Crypt rat,43,350,Yes
Crypt spider,56,600,Yes
Cuffs,3,70,No
Culinaromancer,75,1400,Yes
Customs Officer,35,230,Yes
Cyclops -1-,56,750,Yes
Cyclops -2-,76,1000,Yes
Cyclops -3-,81,1100,Yes
Cyclossus,156,3500,Yes
Dad,101,1200,Yes
Dagannoth,92,1200,Yes
Dagannoth -2-,74,700,Yes
Dagannoth -3-,90,950,Yes
Dagannoth -4-,88,850,Yes
Dagannoth -POH-,135,1420,Yes
Dagannoth Fledgeling,70,1000,Yes
Dagannoth guardian,148,2100,Yes
Dagannoth Mother,100,1000,Yes
Dagannoth Mother -BRD-,353,2490,Yes
Dagannoth Prime,303,2550,Yes
Dagannoth Rex,303,2550,Yes
Dagannoth Sentinel,193,2500,Yes
Dagannoth Spawn,42,350,Yes
Dagannoth Supreme,303,2550,Yes
Dagon'hai Monk,97,880,Yes
Damis,134,900,Yes
Damis -2-,217,2000,Yes
Dark Beast,182,2200,Yes
Dark energy core,75,250,Yes
Dark Warrior,8,170,No
Dark Wizard,11,150,Yes
Dark Wizard -2-,7,120,No
Dark Wizard -3-,20,240,No
Dark Wizard -4-,22,250,Yes
Dark Wizard -5-,23,250,Yes
Deadly red spider,34,350,No
Death spawn,46,600,Yes
Deathwing,83,800,Yes
Decaying Avatar,525,10000,Yes
Ded Meet,45,1000,Yes
Defiler,33,270,Yes
Defiler -2-,50,450,Yes
Defiler -3-,67,620,Yes
Defiler -4-,80,780,Yes
Defiler -5-,97,970,Yes
Defiler -6-,66,620,Yes
Delrith,27,70,No
Demon -POH-,82,790,Yes
Desert Lizard,24,250,Yes
Desert Lizard -2-,42,400,Yes
Desert snake,5,60,Yes
Desert strykewyrm,130,1200,Yes
Desert Wolf,27,340,Yes
Dessourt,121,1300,Yes
Dessous,139,2000,Yes
Dharok the Wretched,196,1000,Yes
Dire Wolf,88,850,Yes
Donny the Lad,34,370,No
Doomion,91,900,Yes
Double Agent,108,1200,Yes
Double Agent -2-,65,800,Yes
Dragith Nurn,20,250,No
Drake,1,30,No
Draugen,96,600,Yes
Dried zombie -1-,89,920,Yes
Dried zombie -2-,94,920,Yes
Dried zombie -3-,110,920,Yes
Drunken Man,3,70,No
Duck,1,30,No
Duckling,1,30,No
Dungeon Rat,12,120,Yes
Dust Devil,93,1050,Yes
Dwarf,10,160,No
Dwarf -2-,10,120,No
Dwarf -3-,7,100,No
Dwarf -4-,11,160,No
Dwarf Gang Member,44,400,Yes
Dwarf Gang Member -2-,48,250,Yes
Dwarf Gang Member -3-,49,250,Yes
Dynamite,40,470,Yes
Dynamite -2-,72,780,Yes
Dynamite -3-,53,580,Yes
Dynamite -4-,58,660,Yes
Earth elemental,35,350,Yes
Earth Warrior,51,540,Yes
Earth Warrior Champion,102,1080,Yes
Earth Wizard,13,250,No
Eduard,24,600,Yes
Einar,2,10,Yes
Elf warrior,108,1050,Yes
Elf warrior -Ranger-,90,1050,Yes
Elite Black Knight,138,1200,Yes
Elite Dark Mage,79,800,Yes
Elite Dark Ranger,79,800,Yes
Elite Dark Warrior,122,2000,Yes
Elite defiler,81,500,Yes
Elite Khazard Guard,95,850,Yes
Elvarg,83,1200,No
Enclave Guard,83,800,Yes
Enduring Glacyte,101,1000,Yes
Enraged Barbarian Spirit,166,1900,Yes
Entrana Fire Bird,2,50,Yes
Eruni,180,5000,Yes
Evil Chicken,170,1200,Yes
Evil Spirit,150,900,Yes
Experiment -Fenkenstrain 1-,25,1000,Yes
Experiment -Fenkenstrain 2-,25,1000,Yes
Experiment -Fenkenstrain 3-,51,400,Yes
Experiment No. 2,109,950,Yes
Fareed,227,1300,Yes
Farmer,7,160,No
Fear Reaper,55,570,Yes
Fear Reaper -2-,42,250,Yes
Fenris wolf,64,690,Yes
Ferocious Barbarian Spirit,166,1900,Yes
Fever spider,49,400,Yes
FightpitPKer,113,990,Yes
Fire elemental,35,300,Yes
Fire giant,86,1110,Yes
Fire Monster,47,250,Yes
Fire Warrior of Lesarkus,84,590,Yes
Fire Wizard,13,250,No
Firecapezorz,113,990,Yes
Fistandantilus,80,700,Yes
Fiyr Shade,120,1100,Yes
Fiyr Shadow,120,1100,Yes
Flambeed,149,2100,Yes
Flesh Crawler -1-,28,250,No
Flesh Crawler -2-,35,250,No
Flesh Crawler -3-,41,250,No
Flight Kilisa,159,1330,Yes
Flockleader Geerin,149,1320,Yes
Flying leech,2,50,Yes
Foreman,23,200,Yes
Fortress Guard,20,220,No
Fox,57,600,Yes
Freidir,48,500,Yes
Freygerd,48,500,Yes
Frog,66,500,Yes
Frogeel,103,900,Yes
Frost dragon,166,1610,Yes
Fumus,285,6000,Yes
Fungal mage,120,1200,Yes
Fungal rodent,9,100,Yes
Gadderanks,35,200,Yes
Galina,24,600,Yes
Ganodermic beast,280,2500,Yes
Ganodermic runt,140,1250,Yes
Gardener,4,70,No
Gardener -2-,3,70,No
Gargoyle,111,1050,Yes
Gelatinnoth Mother,130,2400,Yes
Gelatinous Abomination,2,50,Yes
General Bre'egth,150,2000,Yes
General Graardor,624,2550,Yes
General Gromblod,150,2000,Yes
General Khazard,112,1700,Yes
General malpractitioner,65,850,Yes
General Shredflesh,150,2000,Yes
Georgy,24,600,Yes
Ghast,30,450,Yes
Ghast -1-,79,1160,Yes
Ghast -2-,109,1350,Yes
Ghast -3-,139,1600,Yes
Ghost,19,250,No
Ghost -2-,29,310,Yes
Ghost -3-,76,750,No
Ghost -4-,24,200,Yes
Ghost -5-,77,800,No
Ghost -6-,79,680,Yes
Ghostly warrior,42,440,Yes
Ghoul,42,500,Yes
Ghoul Champion,85,1000,Yes
Giant Ant Soldier,58,400,Yes
Giant Ant Worker,40,300,Yes
Giant bat,27,320,Yes
Giant Champion,56,700,Yes
Giant Crab,60,430,Yes
Giant Crypt Rat,76,700,Yes
Giant crypt spider,79,800,Yes
Giant Frog,99,1000,Yes
Giant Kebbit,13,400,Yes
Giant lobster,32,320,Yes
Giant Lobster -2-,45,500,Yes
Giant Lobster -Rocking Out-,60,430,Yes
Giant Mole,230,2000,Yes
Giant Mosquito,13,30,Yes
Giant Mosquito -2-,13,30,Yes
Giant Rat,3,50,No
Giant Rat -2-,6,100,No
Giant Rat -3-,26,250,No
Giant Rat -4-,2,40,No
Giant Rat -6-,2,53,No
Giant Roc,172,2500,Yes
Giant Rock Crab,137,1800,Yes
Giant Scarab,191,1300,Yes
Giant Scarab -2-,206,1900,Yes
Giant Sea Snake,149,1000,Yes
Giant Skeleton,100,1100,Yes
Giant skeleton -2-,80,700,Yes
Giant Snail,80,1250,Yes
Giant Snail -1-,114,1500,Yes
Giant Snail -2-,146,1600,Yes
Giant spider,2,67,No
Giant spider -2-,27,320,No
Giant spider -3-,50,500,No
Giant Wasp,62,500,Yes
Giant Wasp,66,500,Yes
Giant worm,123,650,Yes
Glacies,285,6000,Yes
Glacor,475,5000,Yes
Glod,138,1600,Yes
Glophren,100,1300,Yes
Gnoeals -1-,84,1000,Yes
Gnoeals -2-,93,1000,Yes
Gnome,1,30,Yes
Gnome -2-,3,30,Yes
Gnome archer,5,100,Yes
Gnome child,1,20,Yes
Gnome driver,5,100,Yes
Gnome guard,23,310,Yes
Gnome mage,5,100,Yes
Gnome troop,1,20,Yes
Gnome woman,1,20,Yes
Goat,23,210,Yes
Goblin,2,67,No
Goblin -10-,13,130,Yes
Goblin -11-,15,160,Yes
Goblin -12-,17,180,Yes
Goblin -13-,2,50,No
Goblin -2-,5,120,No
Goblin -3-,13,160,No
Goblin -4-,16,220,No
Goblin -5-,25,260,No
Goblin -6-,11,70,No
Goblin -8-,12,150,Yes
Goblin -9-,12,30,Yes
Goblin -Stronghold of Security,5,60,No
Goblin Champion,24,320,Yes
Goblin Guard,42,430,Yes
Goblin statue,50,300,Yes
Golem Guard,47,750,Yes
Gorad,68,810,Yes
Gorak -1-,145,1120,Yes
Gorak -2-,149,1280,Yes
Granite lobster,64,700,Yes
Granite lobster -2-,57,600,Yes
Grave scorpion,12,70,Yes
Greater demon,92,870,No
Greater reborn mage,112,1100,Yes
Greater reborn ranger,107,1000,Yes
Greater reborn warrior,128,1350,Yes
Green dragon,79,750,Yes
Grey Golem,75,800,Yes
Grifolapine,200,2000,Yes
Grifolaroo,180,1800,Yes
Grizzly Bear,42,350,Yes
Grizzly bear -2-,21,270,No
Grizzly bear cub,33,350,Yes
Grizzly bear cub -2-,36,350,Yes
Grotworm,91,900,Yes
Grotworm -quest-,2,50,Yes
Growler,139,1460,Yes
Guard,21,220,No
Guard -2-,20,220,Yes
Guard -5-,10,160,No
Guard -6-,5,40,Yes
Guard -Central Falador-,19,220,No
Guard -Falador Walls-,22,220,No
Guard Bandit,22,290,No
Guard Dog,44,490,Yes
Guard Dog -POH-,44,490,Yes
Guardian of Armadyl,45,500,Yes
Guardian of Armadyl -2-,43,400,Yes
Guthan the Infested,147,1000,Yes
Guthix wizard,125,1400,Yes
Guthix wizard -2-,110,1000,Yes
H.A.M. agent Walton,50,600,Yes
Haakon the Champion,29,350,No
Halla,1,10,Yes
HAM Archer,30,350,Yes
HAM Guard,22,300,Yes
HAM Guard -2-,12,150,Yes
HAM Guard -3-,18,200,Yes
HAM Mage,30,350,Yes
Har-Aken,800,15000,Yes
Har-Aken (Magic Tentacle),800,700,Yes
Har-Aken (Ranged Tentacle),800,700,Yes
Harold,161,1600,Yes
Harpie Bug Swarm,46,250,Yes
Hati,654,19500,Yes
Hazeel Cultist,13,250,Yes
Head,140,1500,Yes
Head Thief,26,370,Yes
Held vampyre juvinate,119,1500,Yes
Helga,1,10,Yes
Hellhound,122,1160,No
Hellhound -2-,127,1160,Yes
Hellhound -POH-,122,1160,Yes
Hero,69,830,Yes
Het,81,750,Yes
High Priest of Scabaras,179,2550,Yes
High Priest of Scabaras -2-,139,2550,Yes
High Priest of Scabaras -3-,148,2550,Yes
Highwayman,5,130,No
Hill giant,28,350,No
Hobgoblin,42,490,No
Hobgoblin -2-,28,290,No
Hobgoblin -3-,47,520,Yes
Hobgoblin -POH-,54,620,Yes
Hobgoblin Champion,56,580,Yes
Holthion,91,900,Yes
Hopeless Creature,71,710,Yes
Huge spider -POH-,81,900,Yes
Iban Disciple,13,200,Yes
Ice demon,177,1500,Yes
Ice giant,53,700,No
Ice Queen,111,1050,Yes
Ice spider,61,650,Yes
Ice strykewyrm,210,3000,Yes
Ice troll,124,800,Yes
Ice troll -2-,121,800,Yes
Ice troll -3-,120,1000,Yes
Ice troll -4-,123,800,Yes
Ice troll -5-,120,800,Yes
Ice troll -6-,120,1200,Yes
Ice Troll Female,82,800,Yes
Ice Troll Grunt,100,800,Yes
Ice Troll King,122,1500,Yes
Ice Troll Male,82,800,Yes
