202|A Shadow over Ashdale|1|F2P|300 Attack Experience Lamp  300 Strength Experience Lamp  300 Defence Experience Lamp  300 Constitution Experience Lamp  3 Black Pearls  2 Treasure Hunter Keys  |0|||||ShadowAshdale,34,44,North,12,10,West|A Shadow over Ashdale
213|Beneath Cursed Tides|1|F2P|Vannaka's Sword  Oyster, a monthly D&D that provides Fishing and Farming experience  5,000 Cooking XP Lamp  5,000 Fishing XP Lamp  10,000 Combat XP Lamp  Lev's old music box  2 Treasure Hunter keys and 2 Hearts of Ice|0|30 Attack,30 Cooking,30 Woodcutting,30 Firemaking,30 Mining,30 Smithing,30 Strength,30 Magic|||<at>30</at><ck>30</ck><wc>30</wc><fm>30</fm><mi>30</mi><sm>30</sm><st>30</st><ma>30</ma>|BCT,34,44,North,12,10,West|
12|Cook's Assistant|1|F2P|300 XP cooking, access to Lumbridge Castle range|0||None|||Cook's Assistant,1,38,North,24,2,East|Cook's Assistant
15|Death Plateau|1|F2P|3K XP Attack, Steel claws, Ability to make Claw weapons, Ability to wear Rock climbing boots|0||None|||Death Plateau,11,25,North,14,15,East|Death Plateau
17|Demon Slayer|3|F2P|Silverlight Sword|0||None|||Demon Slayer,8,13,North,23,56,East|Demon Slayer
22|Dragon Slayer|2|F2P|18.65k XP Strength, 18.65k XP Defence, ability to wear Rune Platebody, ability to wear Green Dragonhide  Body; access to Oziach's shop|32||None|||Dragon Slayer,6,18,North,23,30,East|Dragon Slayer
24|Druidic Ritual|4|F2P|250 Herblore XP,   15 noted grimy guams and eye of newt.   2 Treasure Hunter keys and 2 Hearts of Ice|0||None|||Druidic Ritual,10,10,North,15,3,East|
32|Ernest the Chicken|4|F2P|400gp|0||None|||Ernest the Chicken,5,13,North,20,58,East|Ernest the Chicken
47|Goblin Diplomacy|5|F2P|0.2k XP Crafting, 1 gold bar|0||None|||Goblin Diplomacy,10,54,North,16,7,East|Goblin Diplomacy
94|Gunnar's Ground|5|F2P|300 Crafting XP, Antique lamp, Swanky boots|0|5 Crafting|None||<cr>5</cr>|Gunnar's Ground,8,13,North,19,60,East|Gunnar's Ground
59|Imp Catcher|1|F2P|0.9k XP Magic, Amulet of Accuracy|0||None|||Imp Catcher,0,4,South,20,58,East|Imp Catcher
183|Let Them Eat Pie|1|F2P|100 Cooking XP, 150 Thieving XP, Spice Pouch (+10 healing to all food when carried), 5 Meat Pies|0|||||Let Them Eat Pie,8,52,North,13,43,East|Let Them Eat Pie
149|Myths of the white Lands|2|F2P|500XP Reward Lamp|0||None|||Myths of the white Lands,2,29,North,23,58,East|Myths of the White Lands
84|Pirate's Treasure|2|F2P|450gp, Gold Ring, Cut Emerald|0||None|||Pirate's Treasure,2,43,North,19,11,East|Pirate's Treasure
98|Rune Mysteries|1|F2P|Access to Runecrafting skill, Air Talisman|0||None|||Rune Mysteries Quest,1,60,North,24,2,East|Rune Mysteries
105|Shield of Arrav|1|F2P|600 gp|0||None|||Shield of Arrav,10,24,North,23,62,East|Shield of Arrav
